Dataset,Model,Accuracy,Precision,Recall,F1,ROC AUC
CIC_IDS2017,Decision Tree,0.9974875555169884,0.9955601009277988,0.9994347127981402,0.99749288758683,0.9974875357641946
CIC_IDS2017,Random Forest,0.9984611341637544,0.9971193610479996,0.9998115972202506,0.9984634481480692,0.9984611341389936
CIC_IDS2017,Bagging,0.997958670905548,0.9961833114810522,0.999748783149899,0.9979626078459264,0.9979586807231384
CIC_IDS2017,XGBoost,0.9982098877432688,0.99655928738226,0.9998744112906024,0.998213568060762,0.9982098384262807
CIC_IDS2017,MLP,0.931065176747158,0.9246084194250246,0.9440972123643956,0.9313382540186874,0.9310669795935104
CIC_IDS2017,TabNet,0.9268238760521604,0.9619688218189844,0.8897001091458547,0.9202439012902416,0.926824624535105
CIC_IDS2017,SVM,0.5741159585210196,0.5411293990987087,0.975441118019476,0.6960900043040604,0.5741159501209753
CIC_IDS2017,LightGBM,0.9986181397568692,0.9973076849603384,0.9999371859296484,0.9986203748599382,0.9986180904522612
CIC_IDS2017,TabTransformer,0.8743476014294392,0.9108751544703342,0.8464953849599535,0.869387016865231,0.8743481807972694
UNSW,Decision Tree,0.998630958159359,0.9972701584631716,1.0,0.9986330264405484,0.9986309492745364
UNSW,Random Forest,0.9982939652924944,0.9966012015021576,1.0,0.9982972898695006,0.9982939652812762
UNSW,Bagging,0.9983782157276118,0.9967679480939392,1.0,0.998381102538946,0.9983782112795913
UNSW,XGBoost,0.998336092728454,0.9966846362205772,1.0,0.9983392094354662,0.9983360971559077
UNSW,MLP,0.5000210659363808,0.2500105329681904,0.5,0.3333426953143285,0.5
UNSW,TabNet,0.9966090231421824,0.994385437064404,0.9988626790227464,0.996614788207076,0.9966090275640268
UNSW,SVM,0.742291486717368,0.6238044125351971,0.9,0.7349404304134699,0.7423125526537488
UNSW,LightGBM,0.9985677692238204,0.9971447946392784,1.0,0.9985700851684284,0.998567773651274
UNSW,TabTransformer,0.5,0.35,0.7,0.4666666653517817,0.5
CREDIT,Decision Tree,0.9993970859068012,0.9987957347448864,1.0,0.9993974643016188,0.9993971111206458
CREDIT,Random Forest,0.9998743907934547,0.9997489707700716,1.0,0.9998744286490916,0.9998744097181034
CREDIT,Bagging,0.9995729400582414,0.9991467877527784,1.0,0.9995731607888312,0.999572952658824
CREDIT,XGBoost,0.9997739072150504,0.9995482179090412,1.0,0.9997740018319649,0.9997739198251429
CREDIT,MLP,0.999698524019242,0.9993975902349336,1.0,0.999698656485468,0.9996985303211184
CREDIT,TabNet,0.9993970732840288,0.998796136978866,1.0,0.9993975902412352,0.9993970354030324
CREDIT,SVM,0.9931165877112264,0.9864240844541164,1.0,0.9931647226419836,0.9931164486420048
CREDIT,LightGBM,0.999673423636646,0.9993474650480104,1.0,0.9996735624047408,0.9996734551713868
CREDIT,TabTransformer,0.9997236496473828,0.9994478163279178,1.0,0.9997237758117252,0.9997236559492592
LITNET,Decision Tree,0.9901844532279316,0.9807701239607882,1.0,0.9902858549386128,0.9901844532279315
LITNET,Random Forest,0.9989130434782609,0.9978319273020985,1.0,0.9989145058364699,0.9989130434782609
LITNET,Bagging,0.9986495388669303,0.9973093127964979,1.0,0.9986521038588215,0.9986495388669303
LITNET,XGBoost,0.997562582345191,0.9951510541387197,1.0,0.9975690732206927,0.997562582345191
LITNET,MLP,0.9878458498023714,0.9802255293712138,0.9957839262187088,0.9879423688939053,0.9878458498023714
LITNET,TabNet,0.9780961791831357,0.9761542271551633,0.981159420289855,0.9781615704897844,0.9780961791831357
LITNET,SVM,0.9094532279314889,0.8812016594746523,0.946574440052701,0.9126991407995206,0.9094532279314889
LITNET,LightGBM,0.9986824769433467,0.9973734291057402,1.0,0.9986845995569622,0.9986824769433464
LITNET,TabTransformer,0.985935441370224,0.976383626479433,0.9959815546772068,0.9860797504966776,0.985935441370224
UGR,Decision Tree,0.9819576711418136,0.9652364817932436,0.9999521988527724,0.9822820775122804,0.9819578418090348
UGR,Random Forest,0.9823639009391184,0.9659891227745344,0.9999521988527724,0.9826729480060324,0.9823640259482808
UGR,Bagging,0.9821727306162636,0.9656351926117892,0.9999521988527724,0.98248907590458,0.98217286703653
UGR,XGBoost,0.9779907356008324,0.9579061338703088,0.9999521988527724,0.97847069457486,0.9779908147800326
UGR,MLP,0.8762369589104309,0.8341685359042706,0.9393972122316124,0.8835822152807845,0.8762369374743637
UGR,TabNet,0.7164840628576521,0.80236002942821,0.6108144557246726,0.658914515895052,0.71648730768774
UGR,SVM,0.7840653933400494,0.7793984755299499,0.7924782736591698,0.7858469218961537,0.7840657056801373
UGR,LightGBM,0.981049614963758,0.9635489037101428,0.9999521988527724,0.9814070795994624,0.9810497798817692
UGR,TabTransformer,0.8619939303393938,0.8176466394390616,0.9337094009988682,0.8713494689701715,0.8619920585690808
